,V1,V2,V3,V4,V5
11,중국의 ‘일대일로(一帶一路)’ 대응 유라시아 지역 환경전략 연구 ,추장민,기본연구,2016-10-31,제1장 서론 1. 연구의 필요성 및 목적 가. 연구의 배경 및 필요성 나. 연구의 목적 2. 주요 연구 내용 및 방법 가. 주요 연구내용 나. 선행연구와의 차별성 다. 연구방법 제2장 중국의 ‘일대일로’ 전략 및 아시아인프라투자은행(AIIB)과 환경 문제 1. 중국의 ‘일대일로’ 전략 추진 배경 가. 국제 정세 변화와 ‘일대일로’ 전략 나. 중국 ‘신창타이(新常態)’ 경제상황과 ‘일대일로’ 전략 다. 중국의 대외정책과 ‘일대일로’ 전략 2. ‘일대일로’ 전략 추진 경과 및 주요 내용 가. ‘일대일로’ 전략 추진 경과 나. ‘일대일로(一帶一路)’ 전략의 주요 내용 3. ‘일대일로’ 전략의 6대 경제회랑 주요 내용 가. 新유라시아 대륙 교량 경제회랑(New Eurasian Land Bridge) 나. 중국-몽골-러시아 경제회랑(China-Mongolia-Russia Corridor) 다. 중국-중앙아시아-서아시아 경제회랑(China-Central Asia-West Asia Corridor) 라. 중국-인도차이나반도 경제회랑(China-Indochina Peninsula Corridor) 마. 중국-파키스탄 경제회랑(China-Pakistan Corridor) 바. 방글라데시-중국-인도-미얀마 경제회랑(Bangladesh-China-India-Myanmar Corridor) 4. ‘일대일로’ 전략과 환경이슈 가. ‘일대일로’ 전략의 환경 관련 내용 나. ‘일대일로’ 전략의 주요 환경이슈 5. 아시아인프라투자은행(AIIB)과 환경이슈 가. 아시아인프라투자은행(AIIB) 설립 경과 및 주요 현황 나. AIIB의 환경규정 및 환경이슈 제3장 ‘일대일로’ 6대 경제회랑 연선 국가의 환경실태 1. 新유라시아 대륙교량 및 중국-몽골-러시아 경제회랑 연선 국가 환경실태 가. 러시아의 주요 환경실태 나. 몽골의 주요 환경실태 2. 중국-중앙아시아-서아시아 경제회랑 연선 국가 환경실태 가. 카자흐스탄의 주요 환경실태 나. 우즈베키스탄의 주요 환경실태 3. 중국-인도차이나(동남아시아) 경제회랑 연선 국가 환경실태 가. 베트남 주요 환경실태 나. 라오스 주요 환경실태 다. 태국 주요 환경실태 라. 말레이시아 주요 환경실태 4. 방글라데시-중국-인도-미얀마 경제회랑 연선 국가 환경실태 가. 미얀마 주요 환경실태 나. 방글라데시 주요 환경실태 다. 인도 주요 환경실태 5. 중국-파키스탄 경제회랑 연선 국가(파키스탄) 환경실태 제4장 중국의 ‘일대일로’ 전략 대응 유라시아 환경전략 개발 1. 유라시아 환경전략 수요 분석 가. 6대 경제 회랑 및 해양실크로드의 환경이슈 및 환경전략 수요 나. ‘일대일로’ 전략 환경이슈에 대한 관련국의 입장과 태도 2. 유라시아 환경전략 비전 및 목표 가. 환경전략 추진 여건(SWOT) 분석 나. 유라시아 환경전략의 비전과 목표 및 기본 방향 3. 유라시아 환경전략의 추진전략 및 주요 사업 4. ‘유라시아 이니셔티브’와 ‘일대일로’ 전략의 연계를 통한 유라시아 환경전략 추진 방안 가. ‘유라시아 이니셔티브’와 ‘일대일로’ 전략과의 연계 방안 나. ‘유라시아 이니셔티브’와 ‘일대일로’ 전략 연계 환경전략 추진 방안 제5장 요약 및 결론 참고문헌 부록 부록 1. ‘일대일로’ 5대 중점 추진원칙 및 전략 부록 2. AIIB 환경사회 보호체계 부록 3. Environmental and Social Exclusion List Abstract
12,도시의 기후 회복력 확보를 위한 공간단위별 평가체계 및 모형 개발(Ⅱ) ,김동현,기본연구,2016-10-31,제1장 서론 1. 연구의 배경 및 목적 2. 연구의 대상 3. 연구의 구조 제2장 이론적 체계 1. 도시 기후 회복력 평가를 위한 이론적 체계 2. 도시 기후 회복력 평가를 위한 개념의 재구성 3. 도시 기후 회복력 평가의 방법 4. 도시 기후 회복력 속성의 평가 구조 제3장 도시 기후 회복력 평가 지표 적용 1. 도시 기후 회복력 평가 지표 구성 2. 연구방법 3. 도시 기후 회복력 지표 측정 결과 제4장 도시 기후 회복력 평가 지수 적용 1. 건강ㆍ영양의 다양성 2. 사회적 역할의 다양성 3. 생계 다양성 4. 고용 다양성 5. 취약계층의 경제적 통합성 6. 토지이용의 다양성 7. 임금 강건성 제5장 결 론 1. 결론 2. 정책 제언 3. 연구의 한계 및 향후 연구방향 참고문헌 Abstract
13,지역기반 환경보건정책 지원 방안 연구(Ⅱ) ,"신용승,배현주",기본연구,2016-10-31,"제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 범위 제2장 국내 지역사회 환경보건 문제 현황 진단 1. 국내 지역별 환경보건 이슈 분포 특성 분석 가. 전국 실내 라돈 농도 분포 나. 전국 폐암 사망자 분포 다. 전국 광산 분포 라. 전국 자연발생 석면 및 석면 건축물 분포 2. 환경보건 문제에 대한 지자체 대응 현황 및 역량 분석 가. 서울특별시 나. 대전광역시 다. 충청남도 라. 경기도 3. 국내 지역사회 환경보건 문제 대응 문제점 및 시사점 제3장 지역기반 환경보건정책 지원 프로그램 관련 사례 분석 1. 지역 환경보건 실행계획(위해저감계획) 가. 미국 EPA의 CARE 프로그램에 따른 지역 환경보건 실행계획 나. 유럽의 국가 및 지역 환경보건실행계획 2. 지역사회 거버넌스 가. 국내 지역사회 거버넌스 체계 현황 및 사례 나. 국외 지역사회 거버넌스 사례 3. 지역사회 환경보건 서비스 가. 국외 지역사회 환경보건 서비스 사례 나. 국내 지역사회 환경보건 서비스 사례 4. 시사점 가. 지역 환경보건 실행계획(위해저감계획) 나. 지역사회 거버넌스 구성 및 역할, 운영 방안 다. 지역사회 환경보건서비스 제4장 지역기반 환경보건정책 지원 프로그램 시범사업 실시 1. 지역기반 환경보건 정책지원 프로그램 시범사업 지역 선정 2. 지역기반 환경보건 정책지원 프로그램 시범사업 가. 환경보건정책 지원방안 계획 나. 지역사회 환경보건 현황 분석 다. 지역사회 환경보건 문제 이슈 선정 라. 위해저감 계획 및 실행 마. 이행과정 사후 모니터링 및 검토 3. 지역사회 환경보건 문제 해결을 환경보건협의체 운영 제5장 지역기반 환경보건정책 지원 프로그램의 국내 적용 방안 제시 1. 시범적용을 통한 기술적 문제점 분석 및 보완 방안 가. 환경보건정책 지원방안의 계획 단계 나. 환경보건 현황 분석 단계 다. 환경보건 문제 우선순위 선정 단계 라. 위해저감 계획 및 실행 단계 마. 이행과정 사후 모니터링 단계 2. 지역기반 환경보건정책 지원을 위한 제도적 개선 방안 가. ？환경보건법？ 개정 나. 지역 환경보건정책 지원 범위 확대 및 행정적 전문성 제고 다. 협력 및 수행체계 구축"
14,신기후체제의 기후변화 적응 및 손실과 피해에 관한 대응방안 ,이승준,수시연구,2016-09-30,"제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 목적 제2장 파리협정의 핵심사항 1. 파리협정의 개요 2. 파리협정의 적응 및 손실과 피해 가. 적응의 목표 나. 적응의 원칙 1) 기후정의 2) 인식제고와 이해관계자 참여 3) 과학 지식, 전통 및 지역 지식 활용 4) 적응의 주류화 다. 국제협력과 개별적 노력 1) 칸쿤적응체제 2) 파리협정에서 적응 관련 국제협력 3) 파리협정에서 적응 관련 개별적 노력 라. 적응정보 보고 및 논의 1) 적응정보 보고 2) 전 지구적 점검 마. 손실과 피해 1) 서서히 일어나는 현상 2) 포괄적 위험평가 및 관리 3) 기후보험 4) 비경제적 손실과 피해 바. 적응재정 제3장 국내외 현황 및 과제 1. 국내외 적응정책 현황 및 방향 가. 국외 적응정책 현황 및 방향 나. 국내 적응정책 현황 및 방향 2. 적응을 위한 기후변화 과학 및 지식 가. 기후변화 위험평가 나. 정보공유와 전통지식의 활용 3. 기후정의 및 이해관계자 참여 가. 기후정의 관련 현황 나. 기후정의와 적응정책의 과제 다. 기후변화 인식현황 및 정책방향 4. 손실과 피해 가. 포괄적 기후변화 위험 관리와 보험 나. 손실과 피해 관련 기초 연구 제4장 대응방안 1. 핵심의제별 대응 가. 기후정의 나. 인식제고와 이해관계자 참여 다. 기후변화 적응 관련 지식의 개발, 활용, 공유 라. 기후변화 적응의 주류화 마. 기후변화 적응정책의 효과성 강화 바. 손실과 피해 관련 정보 및 지식 강화 사. 손실과 피해 대응 포괄적 위험관리 체계 개발 2. 기후변화 적응 및 손실과 피해 대응방안"
15,대기환경비용을 고려한 친환경차 구매보조금 실효성 제고 연구 : 차종별 적정 보조금 수준 분석을 중심으로 ,한진석,수시연구,2016-09-30,"제1장 서 론 1. 연구의 필요성 및 목적 2. 연구의 범위 및 방법 3. 선행연구와의 차별성 제2장 친환경차 보급 정책 동향 분석 1. 국내 정책동향 2. 국외 정책동향 3. 친환경차 보급 정책 효과 제3장 친환경차 적정 보조금 수준 분석 1. 친환경차 보급에 따른 환경비용 절감효과 2. 친환경차 보급 정책에 대한 경제성 분석 3. 친환경차 구매에 따른 수익성 분석 4. 소결 제4장 결론 및 제언 1. 결론 2. 정책 제언 참고문헌 부 록 부록 Ⅰ. 주요 선도국 친환경차(EV, PHEV) 보급 정책 Abstract"
16,실도로에서 경유차의 대기오염물질 초과 배출에 따른 사회적 비용 연구 ,강광규,수시연구,2016-09-22,제1장 서 론 1. 연구의 필요성 및 목적 2. 연구 범위 3. 연구 내용 및 수행체계 제2장 경유차 실도로 대기오염물질 초과배출 현황 및 원인 분석 1. 경유차의 배출허용기준 강화와 배출가스 저감기술 2. 경유차의 배출가스 인증시험모드와 질소산화물 배출량 3. 경유자동차의 실도로 주행 시 질소산화물 과다배출 사례 4. 경유자동차 실도로 주행 시 질소산화물 조작 사례 제3장 경유차 실도로 대기오염물질 초과배출에 따른 사회적 비용 산정 1. 이론적 고찰 2. 대기오염물질 초과배출에 따른 사회적 비용 산정 제4장 대안 제시: 실도로 배출기준 도입 효과 1. 실도로 배출기준 도입에 따른 편익 산정 제5장 결론 참고문헌 Abstract
17,토양정화 곤란 부지의 최적 관리방안 연구 ,박용하,수시연구,2016-08-31,"제1장 서 론 1. 연구의 배경 및 목적 2. 연구의 접근 및 방법 제2장 국내 “정화곤란부지”의 주요 사례 및 시사점 1. 건설기계 시운전 부지 2. 해군 ㅇㅇ 부지 3. 동해 ㅇㅇ 부지 4. 서울 동서울터미널 부지 5. 캠프 ㅇㅇ 인접 도로 부지 6. 캠프 ㅇㅇ 인접 도로 부지 7. 캠프 ㅇㅇ 인접 도로 부지 8. 캠프 ㅇㅇ 인접 도로 부지 9. ㅇㅇ KTX 교각 하부 부지 10. ㅇㅇ 유류중대 인근 철도 부지 11. 부산 감천도로 부지 12. ㅇㅇ 석유화학단지 부지 13. ㅇㅇ역 구내 부지 14. ㅇㅇ역 구내 부지 15. 캠프 ㅇㅇ 건물 부지 16. ㅇㅇ 석유화학공장 부지 17. 국내 “정화곤란부지""의 시사점 제3장 선진 외국의 도로, 철도, 시설의 오염부지 정화 사례 1. 스트링펠로우 유해폐기물 매립부지 2. 웨스턴 퍼시픽 철도회사 부지 3. 트레저 아일랜드 해군기지-헌터스 포인트 트리플 A 부지 4. 외국의 오염부지 정화 사례의 시사점 제4장 “정화곤란부지”의 관리방안 1. 법ㆍ제도 개선을 위한 타당성 및 방향 2. 법ㆍ제도 개선 3. 토양환경보전법의 개정(안) 4. 토양환경보전법 개정에 따른 관련 지침의 개정(안) 제5장 요약 및 결론 참고문헌 참고자료 Ⅰ. 서호주의 오염부지 매매 법, 제도 및 관련 서류 Abstract"
18,제3차 국가생물다양성전략 이행상황 점검 ,이현우,수탁연구,2016-08-30,제 1 장 서 론 1. 과업 배경 및 필요성 2. 과업 내용 가. NBSAP 실행 관련 생물다양성 정책여건 및 현황 분석 나. NBSAP 중간 점검 틀 및 지표 개발 다. 제3차 NBSAP 중간평가 수행 지원 라. 국가생물다양성전략 이행상황(안) 마련 3. 과업추진 방법 제 2 장 국내외 NBSAP 실행점검 사례 분석 1. 국제사회 NBSAP 수립 및 점검 관련 시사점 가. CBD NBSAP 수립 및 점검 관련 의제분석 나. UNEP-WCMC의 각국 생물다양성 지표 분석 2. 주요국 NBSAP 점검 현황 가. 세계(CBD) 나. 유럽(EU) 다. 독일 라. 중국 마. 일본 3. 종합고찰 가. 국가별 이행상황 점검결과 종합 나. 국내외 NBSAP 이행점검 시사점 제 3 장 NBSAP 점검지표 방향 설정 1. 국내외 점검지표 사례 고찰 가. 생물다양성지표파트너십 나. 유럽연합 다. 독일 라. 중국 마. 일본 바. 우리나라 2. 국내외 점검지표 비교·분석 및 시사점 3. NBSAP 점검지표 방향 설정 제 4 장 NBSAP 중간점검 수행 1. NBSAP 중간점검 수행방법 가. 개요 나. 부처별 자체 점검 다. 전문가 평가 2. NBSAP 부처별 중간점검 수행결과 가. 생물다양성의 주류화 나. 생물다양성의 보전 강화 다. 생물다양성 위협요인 저감 라. 생태계서비스의 지속가능한 이용 마. 생물다양성 연구 및 관리체계 구축 바. 생물다양성 국제협력 강화 3. NBSAP 중간점검 결과 종합 가. 달성도 분석 나. 전략별 평가 제 5 장 국가생물다양성전략 이행상황(안) 마련 1. NBSAP 중간점검 종합평가 2. 부처별 NBSAP 추진 협조사항 3. 아이치 타겟 달성도 점검 4. 향후 추진 방향 가. COP13 홍보물 제작·배포 나. CBD 제출 6차 국가보고서(NR) 반영 다. 제4차 NBSAP에 반영 라. 관계부처 법정계획에 점검결과 및 NBSAP 반영 참 고 문 헌
19,국가 지속가능성 평가 등에 관한 연구 ,김종호,수탁연구,2016-07-30,"지속가능발전 개념은 '87년 환경과 개발에 관한 세계위원회(WCED)가 발표한 보고서 ‘우리 공동의 미래(Our Common Future)’에서 정의되어 널리 알려졌다. WCED 보고서(브룬트란트 보고서)에 따르면, 지속가능발전은 ‘미래 세대의 필요를 충족시킬 수 있는 능력을 훼손하지 않는 범위에서 현재 세대의 필요를 충족시키는 발전’을 말한다. 지속가능발전은 브라질 리우 데 자네이루 에서 '92년 개최된 유엔환경개발회의(UNCED, Rio 회의)에서 ‘환경적으로 건전하고 지속가능한 발전(ESSD)’이라는 환경-경제 통합 개념으로 발전되었고, '02년 지속가능발전세계정상회의(WSSD, Rio+10)에서 환경-경제-사회의 통합과 균형을 지향하는 인류의 보편적인 발전전략으로 정착되었다. '92년 UNCED에서 리우선언과 의제21을 채택하였는데, 의제21에는 각국 정부가 경제적·환경적·사회적 목적을 균형적이고 통합된 방식으로 달성하기 위한 국가지속가능발전전략(NSDS)을 채택해야만 한다고 명시되어 있다. ‘97년에 개최된 유엔총회 특별세션(Rio+5)에서는 모든 나라가 '02년까지 국가지속가능 발전전략을 수립하기로 합의하였다. 이러한 배경에서 유럽 국가들을 중심으로 많은 국가들이 국가 지속가능 발전전략을 수립하였다. 영국이 세계 최초로 '94년에 국가 지속가능발전전략을 수립하였고, 독일과 프랑스가 각각 '02년과 '03년에 수립하였다. '01년에는 EU 차원의 지속가능발전전략이 수립되었는데, 현재까지 대부분의 유럽 국가들이 국가지속가능발전전략을 수립·시행하고 있다. '12년 UN지속가능발전회의(UNCSD, Rio+20)는 지난 20년간에 걸친 각 국의 지속가능발전 노력을 점검하고, 결의문인 ‘우리가 원하는 미래(The Future We Want)’를 통해 지속가능발전목표(Sustainable Development Goals, SDGs) 설정에 합의하였다. 그 후 3년에 걸쳐 진행된 후속 논의를 바탕으로, '15년 9월 제70차 유엔총회에서 17개 목표(goal)와 169개 세부목표(target)로 구성된 지속가능발전목표(SDGs)를 담은 ‘2030 지속가능발전의제(2030 Agenda for Sustainable Development)’가 채택되었다. 지속가능발전목표(SDGs)는 과거의 성장 위주 개발로 인하여 발생된 불평등, 환경파괴 등의 문제를 해결하기 위한 목적을 가지고 있다. 동시에 선진국과 개발도상국 모두에 적용되어 모든 이해당사자들의 협력을 통해 이행해야 하는 보편적인 목표들과 과감하고 혁신적인 세부이행과제들을 담고 있다. 지속가능발전목표의 이행과 관련된 5대 행동영역으로 사람(people), 지구(planet), 번영(prosperity), 평화(peace), 파트너십(partnership)이 제시 되었으며, 빈곤의 해소를 가장 본질적이고 궁극적인 지구적 과제이자 지속가능한 발전을 위한 필수요건으로 강조하였다. 제시한 모든 목표와 세부이행과제들은 인권의 실현과 양성평등, 모든 여성과 소녀들의 역량 강화를 포함하여 지속가능발전의 세 핵심 축인 경제번영, 사회통합, 환경보존을 균형 있게 통합하고자 하는 고민을 반영하고 있다(강상인 외, 2015). 2030 지속가능발전의제의 이행 상황은 유엔 고위급정치포럼(High Level Political Forum, HLPF)에서 점검할 예정인데, 현재 개별 국가 및 지구적 차원에서 지속가능발전목표의 효과적 이행을 위한 다양한 논의가 진행 중에 있다."
20,유네스코 세계지질공원 운영 강화에 따른 국가지질공원제도의 개선방안 연구 ,이수재,수시연구,2016-11-22,"제1장 서 론 1. 배경 2. 필요성 및 목적 3. 연구 범위 4. 연구 내용 5. 연구 방법 및 연구 내용 수행 체계 6. 선행 연구 제2장 국외 지질공원 동향 1. 유네스코 2. 세계지질공원망 3. 아시아·태평양 세계지질공원망(APGN) 4. 세계지질공원 인증 및 재인증 강화 관련 대응방안 5. 인증 및 재인증 자체평가표의 변화 6. 국외 지질공원의 주요 활동 7. 시사점 제3장 국내 지질공원 운영 현황 1. 국내 지질공원 현황 2. 주요 활동 3. 지질공원 제도상 문제점 4. 지질공원 운영상 개선이 필요한 사항 5. 세계지질공원 추진 시 고려사항 제4장 지질공원제도 개선방안 1. 지질공원 제도 개선의 필요성 2. 법규상 지질공원 인증 항목의 개선방안 제5장 결론 및 제언 1. 결론 2. 제언 참고문헌 부록 부록 Ⅰ. 지질공원 인증 세부 기준 일부개정(안) 부록 Ⅱ. 국제지구과학 및 지질공원 프로그램 법규 부록 Ⅲ. 유네스코 세계지질공원 자체평가표 A (인증 시) 부록 Ⅳ. 유네스코 세계지질공원 자체평가표 B (재인증 시, 일부) 부록 Ⅴ. 평가 임무/재인증 임무 보고서 양식"
21,시스템과 네트워크 이론을 활용한 미래 환경정책 방향 연구 ,이승준,기초연구,2016-11-06,제1장 서 론 1. 연구의 필요성 및 목적 2. 시스템과 네트워크 언어 제2장 미래 환경정책 방향 분석 1. 에너지 활용과 규모의 축소 가. 화석연료와 경제발전 나. 순 에너지의 고려 다. 대체 에너지와 규모의 축소 2. 자기조직화 기능의 활용 가. 자기조직화의 개념 나. 되먹임 과정 다. 생태계와 사회경제계의 연계성 3. 시스템 차원의 가치평가를 통한 자원 불평등과 비효율성 해소 가. 자연자원의 가치에 대한 저평가 나. 에너지 질 개념 다. 생물리학적 접근법 라. 환경자원 불평등과 실질적 부의 실현 마. 자원의 효율적 분배를 위한 정책 4. 시스템의 공간적 분산과 지역화 가. 공간적 위계 분포 나. 척도 없는 네트워크 다. 분산과 지역화를 위한 과제 5. 지속가능한 환경관리를 위한 시스템 정보관리와 회복탄력성 제고 가. 정보에 관한 시스템적 고찰 나. 회복탄력성의 개념 다. 네트워크 이론과 회복탄력성
22,국가 및 지역 미래성장동력에 대한 환경성 분석 및 환경영향평가 대비방안 연구 ,방상원,기본연구,2016-10-31,제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 목적 3. 연구의 내용 및 수행체계 제2장 국가 및 지역의 미래성장동력 현황 1. 미래성장동력 현황 제3장 미래성장동력의 환경성 분석 및 대비방안 1. 미래성장동력(192개)의 환경성 및 평가방안 마련의 필요성 2. 주요 미래성장동력의 환경성 분석 및 대비방안 제4장 미래성장동력 지원·촉진 관련 주요 법·제도의 환경성 분석 및 대비방안 1. 규제프리존 2. 개발제한구역의 조정을 위한 도시관리계획 변경안 수립 지침 3. 비도시지역 개발: 보전관리지역의 경우도 계획적 개발을 전제로 도시계획위원회 심의를 거쳐 허용범위 확대 4. 산지와 농지 규제 완화 5. 태양광 산업 활성화를 위해 하천부지에 태양광 설비 설치 허용 등의 규제 해제 (하천점용허가제 개선) 제5장 미래성장동력 환경영향평가방안 개발 로드맵 1. 미래성장동력 환경영향평가방안 개발 로드맵 제6장 결 론 1. 결론 참고문헌 부 록 부록 Ⅰ. 국가 및 지역의 미래성장동력 현황(전수조사) Abstract
23,지중환경관리를 위한 제도 개선방안 연구(Ⅱ) ,황상일,기본연구,2016-10-31,제1장 서 론 1. 연구의 배경 및 필요성 2. 연구의 목적 3. 연구의 내용 및 수행체계 제2장 국가 및 지역의 미래성장동력 현황 1. 미래성장동력 현황 제3장 미래성장동력의 환경성 분석 및 대비방안 1. 미래성장동력(192개)의 환경성 및 평가방안 마련의 필요성 2. 주요 미래성장동력의 환경성 분석 및 대비방안 제4장 미래성장동력 지원·촉진 관련 주요 법·제도의 환경성 분석 및 대비방안 1. 규제프리존 2. 개발제한구역의 조정을 위한 도시관리계획 변경안 수립 지침 3. 비도시지역 개발: 보전관리지역의 경우도 계획적 개발을 전제로 도시계획위원회 심의를 거쳐 허용범위 확대 4. 산지와 농지 규제 완화 5. 태양광 산업 활성화를 위해 하천부지에 태양광 설비 설치 허용 등의 규제 해제 (하천점용허가제 개선) 제5장 미래성장동력 환경영향평가방안 개발 로드맵 1. 미래성장동력 환경영향평가방안 개발 로드맵 제6장 결 론 1. 결론 참고문헌 부 록 부록 Ⅰ. 국가 및 지역의 미래성장동력 현황(전수조사) Abstract
24,정부3.0 기반 지역기피시설 주민수용성 평가 방안(Ⅱ) ,김태현,기본연구,2016-10-31,제1장 서 론 1. 연구의 배경 및 목적 2. 연구의 범위 및 방법 제2장 이론적 배경 및 정책 현황 1. 정부3.0 패러다임 2. 주민수용성 평가 정책 및 연구 3. 주민수용성 평가 방법론 제3장 주민수용성 평가 결과 분석 1. 지역수용성 결정요인 분석 결과(SEM) 2. 공간자료분석 결과(ESDA) 제4장 주민수용성 평가 방법론의 제도적 활용방안 1. 정부3.0 패러다임과의 연계 2. 평가 방법론의 제도적 활용방안 제5장 결론 및 제언 1. 결론 2. 제언 참고문헌 부 록 부록 Ⅰ. Q 설문지 부록 Ⅱ. 지역수용성 평가 설문지 부록 Ⅲ. 1차년도 분석결과 요약 부록 Ⅳ. 공간계량분석
25,공간정보를 활용한 재해폐기물 성상별 최적 관리방안 ,"조지혜,김태현",기본연구,2016-10-31,제1장 서 론 1. 연구의 목적 2. 연구의 배경 및 필요성 3. 선행 연구와의 차별성 제2장 국내외 재해폐기물 관리제도 비교·분석 1. 국내 수해폐기물 발생 및 처리 현황 가. 수해폐기물의 정의 및 발생 특성 나. 수해폐기물 발생 및 처리 현황 2. 국내외 재해폐기물 관리지침 및 제도 비교 가. 일본 나. 미국 다. 호주 라. 국제기구 마. 국내 3. 국내외 재해폐기물 발생량 산정방법론 비교 가. 일본 나. 미국 다. 호주 라. 대만 마. 국내 4. 해외 사례를 통한 시사점 제3장 사례조사 및 관리상 문제점 분석 1. 사례지역 선정 및 조사 가. 사례지역 선정 나. 사례지역 현장조사 및 실무자 인터뷰 - 부산시 2. 수해폐기물 관리상 문제점 분석 가. 지침 내 지역적 특성 미반영 나. 도심지역에서 2차 임시적환장 확보의 어려움 다. 수해폐기물 성상별 구체적인 처리계획 부재 라. 통계자료 간 수해폐기물 발생량 및 분류체계 상이 제4장 공간정보 구축 및 분석 1. 폐기물 처리시설 입지 공간정보 구축 가. GIS를 활용한 폐기물 처리시설 공간정보 구축의 필요성 나. 폐기물 처리시설 종류별 공간정보 구축 다. 폐기물 처리시설 공간분포 현황 분석 2. 수해폐기물 처리 방법에 따른 시간 감축 효과 비교 분석 가. 네트워크 분석을 활용한 수해폐기물 처리 나. 수해폐기물 처리에서의 네트워크 분석 활용 사례 제5장 공간정보와 연계한 수해폐기물 성상별 관리를 위한 개선방안 1. 수해폐기물 발생량 예측 및 사후 성상별 발생량 산정방안 가. 피해 지역의 지리정보(GIS)를 활용한 사전 발생량 예측 나. 지자체별 지리적 여건을 고려한 지역의 유형화 및 발생량 예측 다. 사후 성상별 발생량 산정 2. 2차 임시적환장의 부지 선정 및 운영 관리방안 가. 2차 임시적환장 부지 선정(안) 나. 2차 임시적환장 배치도 개선(안) 다. 중간처리 및 최종처분 시설과의 사전 협의 3. 공간정보와 연계한 수해폐기물 광역처리 및 관리계획 수립 가. 부산시 사례를 대상으로 공간정보 분석 및 최적 경로 도출 나. 시사점 4. 수해폐기물의 성상별 구체적인 처리방안 마련 5. 사후보고 측면에서의 통계자료 구축방안 가. 통계자료 구축 나. 매립지 대상 수해폐기물 처분지침 수립 제6장 결론 및 제언 1. 수해폐기물 관리 개선을 위한 제언 가. 효율적 광역처리를 위한 지원 근거 마련 필요 나. 지자체 단위의 수해폐기물 관리지침 마련 필요 2. 향후 연구과제 도출 가. 사진촬영기법을 이용한 성상별 수해폐기물 발생량 산정 연구 나. 공간정보 분석 관련 연구 다. 지진 등 환경재난에 따른 재해폐기물 및 폐기물 처리시설 관리 연구 참고문헌 부 록 부록 Ⅰ. 부산시 폐기물 처리시설별 분포 및 침수 흔적 부록 Ⅱ. 전국 매립시설별 전체 용량 및 여유용량 Pie Charts 부록 Ⅲ. 공간데이터 코드 정의 부록 Ⅳ. 지자체 수해폐기물 처리 지침(안) Abstract
26,자원순환사회 전환 촉진을 위한 재활용산업 활성화 방안 : 재활용 관리제도 전환에 따른 영향분석 ,"이소라,신상철",기본연구,2016-10-31,제1장 서 론 1. 연구의 배경 및 목적 2. 연구의 범위 및 방법 제2장 국내 폐기물 재활용 및 재활용산업 현황분석 1. 국내 폐기물 발생 및 재활용 현황 2. 폐기물 품목별·종류별 재활용 현황 3. 재활용산업의 범주 및 현황 제3장 국내외 재활용산업 관련 법·제도 분석 1. 국내의 법·제도 현황분석 2. 국외의 법·제도 현황분석 3. 국내 재활용산업에 대한 지원내용 및 시사점 분석 제4장 재활용산업 지원 방안 및 영향분석 1. 기존 연구의 의견조사 사례분석 2. 의견조사 및 설문지 설계 3. 재활용산업 활성화를 위한 지원 방안 조사 결과 4. 재활용산업 활성화를 위한 영향분석 제5장 조세 지원에 따른 경제적 파급효과 분석 1. 일반균형모형 구조 2. 일반균형모형에서의 생산과 소비 구조 3. 일반균형모형 분석에 적용된 데이터 4. 조세 지원정책에 따른 효과분석 제6장 결론 및 제언 1. 요약 및 결론 2. 정책 및 향후 연구에 대한 제언 참고문헌 부 록 부록. 재활용산업 활성화를 위한 업계 의견수렴(설문지) Abstract
27,폐자원흐름분석을 통한 전기·전자제품의 upcycling 활성화 방안 ,이희선,기본연구,2016-10-31,제1장 서 론 1. 연구의 필요성 및 목적 2. 연구의 범위 3. 연구의 내용 및 수행 체계 제2장 국내ㆍ외 폐전기·전자제품 재활용 정책 및 재활용 현황 1. 국내 2. EU 3. 일본 4. 국내의 재활용 정책 및 공정과의 비교 제3장 국내ㆍ외 업사이클링 사례 및 개념 정의 1. 업사이클링 개념 및 사례 2. 업사이클링 개념 재정의 제4장 전기ㆍ전자제품의 폐자원흐름분석 1. 선행연구 조사 및 대상제품 선정 2. 폐자원흐름분석 정의 3. 폐전기·전자제품의 수거방법 조사 4. 냉장고의 폐자원흐름분석 5. 컴퓨터의 폐자원흐름분석 제5장 전기ㆍ전자제품의 업사이클링 활성화 방안 1. 폐자원흐름분석을 통한 업사이클링 기술 도입방안 검토 2. 폐자원흐름분석 단계별 업사이클링 활성화 방안 제6장 결론 및 제언 1. 결론 2. 정책 제언 참고문헌 부 록 부록 Ⅰ. 일본 가전리사이클 연차보고서 내 재상품화 기술 Abstract
